name,alternative_names,tea_type,cultivars,processing,oxidation_level,cultural_significance,cultural_significance_source,country_of_origin,subregions,avg_price_per_oz_usd,liquor_appearance,liquor_aroma,liquor_taste,liquor_body_mouthfeel,body_effect,dry_leaf_appearance,dry_leaf_aroma,wet_leaf_appearance,wet_leaf_aroma
Assam Doomni,,black,Large-leaf Assamica,,high,Estate-grown Assam black tea from the Brahmaputra Valley,Camellia Sinensis,India,"Assam, Doomni Estate",,mostly clear; reddish-brown,"Sweet, fresh, woody, hay, sugar cane","malt, woody","medium body, astringent, slightly bitter",stimulating,"small, half‑black and half golden‑orange, downy, twisted leaves","Light woodiness, sweet hay",Typical muddy brown shredded leaves,"Sweet, woody, hay"
Ba Xian Dan Cong,Eight Immortals Dan Cong,oolong,Ba Xian,,medium,Associated with the Taoist Eight Immortals. The tea originates from a group of eight cuttings that survived to become eight unique-looking tea bushes.,Verdant Tea,China,"Guangdong, Chaozhou, Fenghuang, Wudong Shan",,"slightly hazy; warm, sunny orange-yellow; honey",sweet; honey; brioche,"honey; peach; nectarine; slightly sweet, slightly tart; fruity",thick; luscious; syrupy,,"large, withered, dark brown leaves with light brown accents",roasted; sweet; effervescent; peach; fruity,olive-green to mud-brown leaves,sweet; honey; intense; nectarine; peach; fruity
Bai Hao Yin Zhen,Silver Needle,white,Da Bai Hao; Fuding Dahao; Fuding Dabai; Zhenghe Dabai,lightly wilted and briefly pan-fried at a low temperature; naturally dried,low,Late‑Qing records describe it being produced in small quantities for tribute due to its use of only young downy buds.,"Willson ""Tea: A History of the Drink That Changed the World"" (2011); Fujian Tea Bureau archives",China,"Fujian, Fuding; Yunnan, Simao, Jinggu",,"soft, pale golden yellow; pale gold",light woodiness; raw pastry dough; cinnamon; vanilla; floral; slightly buttery; artichoke; fruity; sweet; melon; squash,woody; pastry dough; cinnamon; peppery; floral; sweet; vegetal; fruity; honeydew melon,smooth; medium body; juicy,calming,"medium‑sized green buds with a light white, silvery down",fresh; woody; sweet; peppery; molasses; rosemary; pine,vibrant green with brown accents,pepper; toast; vegetal; lightly woody; raw pastry dough; cinnamon; licorice; vanilla; floral; roasted squash
Bai Ji Guan,White Cockscomb,oolong,Bai Ji Guan,shade withering,medium,"Counted among Wuyi’s ""Four Famous Bushes."" Associated with a tale of a monk who cared for an injured rooster, A pale‑leaf tea bush was later found where the bird had rested, giving rise to the tea’s name and its place in Wuyi folklore.","Fujian Wuyi Tea Bureau (2018); Zhang ""China Tea Classic"" (2006)",China,"Fujian, Wuyi",,somewhat cloudy; buttercup yellow; apricot gold,char; honey; sweet; buttery; rich; fruity; dates; effervescent; yams; sweet potato,nutty; walnuts; yellow squash; sweet potato; buttery; honey; malty,medium body; juicy; lingering; slightly astringent,stimulating; warming,"large, withered, dark brown leaves with light brown accents",char; very sweet; pastry; almond; hay; wood,"large, mud-brown leaves",intensely fruity; date; effervescent; very sweet; grapefruit; nectarine; sweet potato; floral
Bai Lin,Bai Lin Gong Fu; Golden Monkey,black,Fuding Bai Hao,picked as one leaf and one bud; hand‑processed,high,"A Fujian black tea whose modern name ""Golden Monkey"" refers to the golden downy buds that resemble monkey fur and the curled leaf shape said to look like a monkey’s paw. The Bai Lin region has produced black tea since the late Qing period.",Fujian Tea Bureau; Tea Research Institute of CAAS,China,Fujian,,"cloudy, warm reddish-brown",very sweet; woody; cinnamon raisin toast; butterscotch; caramel; warm; floral; cooked pumpkin,sweet; slightly sour; fruity; floral; woody; raisins,smooth; light‑to‑medium body; slightly astringent,warming; comforting,"small, withered, downy, orange and black leaves with bud‑leaf pairs showing golden‑orange fur",chocolate-covered raisins; heavy; sweet; pungent; fruity; cherries; nectar; warm,"small, mud-brown leaves",floral; sweet; fruity; dried cherry; raisin
Bai Mu Dan,White Peony,white,Fuding Dabai; Zhenghe Dabai,,low,"A key tea in the Fuding white‑tea tradition, having been produced since the early 20th century. Its name reflects the layered bud‑and‑leaf appearance that resembles peony blossoms.",Fujian Tea Bureau; China White Tea Compendium (2010),China,"Fujian, Fuding",,"cloudy, elegant golden yellow; many little hairs",butter; cream; sweet; buttercream frosting; floral; apple cider,floral; sweet; cinnamon; pastry dough; soft; buttery; creamy; juicy; watermelon rind,smooth; medium body; creamy; juicy,calming,"medium‑to‑large, silvery, fuzzy, bright‑to‑dark green buds and leaves",very fresh; floral; somewhat fruity; Play-Doh; moss; honeysuckle; bright,uniform green that darkens with brewing,floral; frosting; sweet; creamy; buttery; pastry dough; vegetal; artichoke; pine
Bao Hong,Yi Liang Long Jing; Dragonwell of Yi Liang,green,Yunnan Da Ye Zhong,,low,A Yunnan green tea whose flat‑pan processing style resembles Long Jing. This technique is reflected in its nickname.,Yunnan Agricultural University; Yi Liang County Tea Records,China,"Yunnan, Yi Liang",,pale yellow,nutty; smoky; chestnuts; hay; salty; sweet,nutty; cashews; smoky; vegetal; sweet; salty; hazelnut; chestnut; savory,thick; rich,energizing,"full, plump, small leaves",smoked brisket; nutty; spicy; fruity; hay; floral; jasmine,green with brown and red accents,nutty; chestnut; vegetal
Bei Dou,Lost Robe,oolong,Bei Dou Yi Hao,picked up to the third or fourth leaf,medium,"A Wuyi rock‑tea cultivar whose name ""Bei Dou"" means Big Dipper. The nickname “Lost Robe” comes from its association with cuttings taken near the Da Hong Pao mother bushes. Viewed as a ""lost sibling"" of the famous Red Robe tea.","Wuyi Tea Research Institute; Fujian Agriculture Press ""Wuyi Rock Tea Varietal Records""",China,"Fujian, Wuyi, Zhengyan",,golden yellow orange; sunset orange,fudge; blackberries; antique wood; butterscotch; floral,sweet; black raspberry ice cream; chocolate cherry ice cream; blackberries; woody; floral; brandy; hazelnut; cooked apple,thick; comforting,,"medium‑to‑long, withered, broad, dark brown to black leaves",lightly woody; lightly plum; milk chocolate; strawberries,"oily, darker olive green with brown and red accents",dark chocolate; raspberry; black raspberry ice cream; strawberry; blackberry
Ben Shan,Green Dragon; Anxi Green Dragon,oolong,Ben Shan,sun-withered; traditional cloth-wrapped rolling; multiple re-rollings and light roasts,low,"One of the traditional Anxi oolong cultivars. Its name means “Origin Mountain”, referencing the local village where the cultivar was first propagated.",Anxi Tea Industry Records; Fujian Oolong Cultivar Register,China,"Fujian, Anxi County",,deep golden yellow; bright; clear with small particles,milky; buttery; cream; roasted; sweet,sweet; floral; toasty; grassy; caramel; butter; cream,light body; smooth,comforting,loosely rolled balls in mixed greens and browns,"fresh; sweet; roasted; milk chocolate; fruity; peach, nectarine; caramel; hay; coffee; floral; vegetal; marine; cantaloupe; tree bark; sandalwood",medium-large leaves from yellow-green to forest green with reddish-brown accents,fruity; white grape; champagne; sweet; effervescent; wild berries; sweet; vegetal
Ceylon White Tea,Sri Lankan White Tea,white,TRI 2043; TRI 2023; TRI 2024; TRI 2025,"minimally processed, sun-withered buds",very low,,,Sri Lanka,,,cloudy; pale moonlight yellow,sweet; woody; raw pastry dough,sweet; vegetal; woody; creamy; subtle,"thick, smooth",calming,"light, pale green buds with white down",intensely fruity; intensely floral; woody,dull green with brownish red edges,fruity; prune
Cui Ming,Yunnan Cui Ming,green,Yunnan Da Ye Zhong,,low,,,China,"Yunnan, Simao, Ning'Er",,bright yellow-green; bright golden yellow,green chestnut; fruit; sweet potato; sweet; buttery,sweet potato; sweet; buttery; pungent; decadent,smooth; thick,energizing,"bright green, silver‑white, uniform leaves with wavy, dark‑green‑to‑white, fuzzy leaves",strongly vegetal; dried seaweed; hamster bedding,"wavy, various shades of green with red accents",asparagus; spinach; slightly fruity; spicy
Da Hong Pao,Big Red Robe; Big Red Cape; Crimson Robe,oolong,Qi Dan,,medium,Top 10 tea of China. Tied to the legend of imperial officials placing red robes on the original mother bushes after the tea was credited with healing a royal illness.,"China Tea Marketing Association (2010); Zhang ""China Tea Classic"" (2006)",China,"Fujian, Wuyi Shan, Wuyishan Ecological Preserve",,clear; vibrant orange-yellow; light caramel; honey,roasted peanut shells; nectarine; sweet; earthy; woody; spicy; butternut squash; slightly smoky; chocolate; caramel; honey; wood; butter,sweet; salty; butternut squash; smoky; woody; slightly spicy; chocolate; char; clove; allspice; caramel; honey; lightly sweet,smooth; medium‑to‑thick body,stimulating,"medium‑long, twisted, withered, dark brown to black leaves",woody; sweet hay; pastry; bright; floral; prunes; milk chocolate; roasted; peach; fruity; effervescent; caramel; raspberry,dark olive and brown leaves with mud-brown accents,butternut squash; fruity; effervescent; milk chocolate; allspice; nectarine; apricot
Darjeeling Avongrove White Tea,Avongrove White,white,AV2,sun-withered buds,very low,,,India,"Darjeeling, Avongrove Estate",,brilliant light yellow,floral; cocoa,grassy; fruity; sweet; floral; pastry; slightly smoky; pine; muscat grape,medium-to-heavy body; smooth,refreshing,"medium, dark green buds with fuzzy, gray down",fresh; woody; hay; floral; tulip,green and brown leaves,very sweet; floral; woody; muscat grape
Darjeeling Jungpana,,black,Small-leaf Camellia sinensis,,high,,,India,"Darjeeling, Jungpana Estate",,yellow‑orange; orange‑brown,refreshing; bright; woody; spicy; fruity; cinnamon‑raisin toast; sweet; pastry,woody; sweet; fruity; muscat grape; well‑balanced,smooth; slight astringency,uplifting,"small, twisted, broken, green, white, and brown leaves",fresh; invigorating; woody; fruity,uncurled leaves in green with brown and red accents,muscat grape
Dian Hong,Yunnan Gold,black,Yunnan Da Ye Zhong,,high,,,China,"Yunnan, Lincang, Fengqing",,cloudy; orange‑brown,chocolate cake batter; spicy; sweet; smoked meat; malty; molasses; brown sugar,chocolate cake batter; spicy; peppery; bark; sweet; fruity; malty; caramel; gingerbread,smooth; thick; coats the tongue,warming,"long, golden-yellow and brown, twisted leaves with fuzzy, golden buds",spicy; raspberries; dark chocolate; effervescent; golden raisins; nutmeg,brown leaves,intensely fruity; tropical fruit; passionfruit; mango; chocolate; raspberry; apricot; almond
Dong Ding,Frozen Summit; Tung Ting,oolong,Chin Xin,picked up to the third or fourth leaf,medium,A foundational Taiwanese oolong introduced in the 19th century by a scholar returning from Fujian. It became a symbol of Taiwan’s tea craftsmanship and is central to the island’s oolong identity.,Taiwan Tea Research and Extension Station (TRES); Taiwan Council of Agriculture,Taiwan,"Chiayi, Alishan",,cloudy; pale moonlight yellow; pale yellow‑gray,sweet; buttery; pastry; floral; biscuits; pear; hyacinth,cooked pear; buttery; pastry,medium body; lubricating; juicy,stimulating,"rolled, dark green and brown leaves",floral; sweet; grassy; refreshing; char; orange; bosc pear,"large, darker green leaves",fruity; baked apple; pear; pineapple; effervescent; cream; sweet
Fo Shou,Buddha's Hand,oolong,Fo Shou, traditional Wuyi processing,medium,"Named ""Buddha’s Hand"" for its leaf shape and long association with Wuyi Buddhist temples. Historically valued for incense‑like aromatics linked to monastic tea culture.",Wuyishan Cultural Heritage Office (2015); Fujian Tea Gazetteer,China,"Fujian, Wuyishan, Tongmu",,"cloudy, hazy; light root beer-brown",mixed berries; cream; sweet; roasted; walnut; smoky,raspberry; roasted grain; sweet cream; blackberry,light-to-medium body; juicy,energizing,"large, withered leaves of various shades of brown",fresh; sweet; nectarine; roasted; fruity; lychee; toast; floral; mineral,"shiny, darker red‑brown to forest-green leaves",raspberry; effervescent; strawberry
Fukamushi-cha,Fukamushicha; Fukamushi Sencha,green,Yabukita,,low,,,Japan,Shizuoka,,extremely cloudy; dull lime green,peanut; sweet; salty; vegetal; effervescent,extremely vegetal; slightly fruity; citrus; nutty; seaweed; salty; lime,thick; smooth; effervescent,refreshing,"small, thin, dark green leaves",bright; effervescent; fresh; vegetal; sweet; nutty; peanuts; hay,expands in volume,nutty; peanut; salty; sweet
Golden Needles,Jin Zhen; Yunnan Golden Buds; Dian Hong Jin Zhen,black,Yunnan Da Ye Zhong; Fengqing Da Ye,,high,,,China,"Yunnan, Cangyuan",,brown; dark amber,apple; spicy; smoky; earthy; woody; malty,slightly sweet; woody; malty; spicy; smoky,medium body,warming,"small‑to‑medium, dark brown to blackish, golden, thin, twisted leaves",woody; spicy; malty; warm hay; hamster bedding; nutty; almond,"thin, uniform brown leaves",sweet; fruity; prune; wine; woody; chocolate
Gui Fei,Honey Orchid; Guifei,oolong,Jin Xuan,,medium,"Developed after tea farmers noticed that leafhopper bites created a naturally honeyed aroma. The name references the Tang‑dynasty consort Yang Guifei, symbolizing sweetness and beauty.",Taiwan Tea Research and Extension Station; Nantou County Tea Records,Taiwan,"Nantou, Wushe",,"deep, dark golden yellow",fruit; toasted rice; muscat grapes; buttery; nutty; sweet; butternut squash; peaches; honey,toasted rice; muscat grape; sweet; orchid; peaches; honey; apricot,medium-to-heavy body; effervescent,uplifting,"small, dark green rolled balls",orchid; sweet; hay; apricot,unspecified,nutty; orchid; peach; effervescent; honey; sweet
Gui Hua,Osmanthus Oolong,oolong,Huang Dan,mixed with fresh osmanthus flowers; rolled; lightly roasted,medium,Reflects Fujian’s long tradition of scenting teas with osmanthus blossoms. Osmanthus is a flower associated with autumn festivals and literary symbolism.,Fujian Tea Gazetteer; China Osmanthus Culture Society,China,"Fujian, Anxi, Jingu",,light butter yellow,apricot; almond; floral,almond; butter; sweet; osmanthus; grassy,medium-to-thick body,uplifting,"loosely rolled, dark green leaves",dried apricot; almond; sweet,"broken, large, sea‑green leaves",pinewood resin; cardamom; dried apricot
Gyokuro Shizuoka,,green,Yabukita; Saemidori; Okumidori; Gokou; Asahi,,low,,,Japan,Shizuoka,,soft green; pale yellow,vegetal; floral,sweet; spinach; berries; asparagus; green beans; slightly floral,smooth,calming,"short, dull, dark green flat leaves",sweet; vegetal; floral; fruity; pear,intensely green,vegetal; buttered toast
Huang Jin Gui,Golden Turtle; Golden Osmanthus,oolong,Huang Jin Gui,,medium,One of the “Four Famous Anxi Oolongs”. Known for its golden liquor and osmanthus‑like aroma. Helped establish Anxi as a major center of oolong innovation.,Fujian Tea Bureau (2001); Anxi Tea Industry Records,China,"Fujian, Quanzhou, Anxi",,bright clear yellow,rich; buttery; asparagus; sweet; butterscotch,mineral; vegetal; buttery; sweet; slightly fruity,smooth; thick,relaxing; refreshing,"tightly rolled, vibrant green leaves",fresh cut grass; freshly baked bread,"small, unfurled, vibrant, deep green leaves",rich; buttery; asparagus; very sweet; floral; rain
Huang Shan Mao Feng,Yellow Mountain Fur Peak,green,Huangshan Qunti Zhong,,low,Top 10 tea of China. Named for the Huangshan region and the fine white hairs on its buds that resemble mountain peaks. Praised since the Qing dynasty.,China Tea Marketing Association; Anhui Provincial Tea Records,China,"Anhui, Huang Shan",,"bright, cheerful golden yellow; decent number of hairs",starchy; buttery; sweet cream; fresh bread; sugar cane,"slightly sweet; vegetal; herbaceous, pine, floral",medium body; juicy,energizing; uplifting,"withered, curved, small leaves, yellow‑green to dark green with silver hairs",vegetal; spicy; herbaceous; hay; milk chocolate; oregano; black pepper,lighter yellow-green bud-and-leaf pairs with reddish accents,effervescent; sweet; floral; herbaceous; vanilla; lemon verbena
Huang Zhi Xiang Dan Cong,Yellow Gardenia Flower Dan Cong,oolong,Huang Zhi Xiang,,medium,A Phoenix Dan Cong cultivar named for its natural gardenia‑like fragrance. Part of Guangdong’s single‑bush Dan Cong heritage.,Guangdong Intangible Cultural Heritage Registry; Fenghuang Dan Cong Cultural Office,China,"Guangdong, Wu Dong, Phoenix Village, Ling Tou",,"light, clear golden yellow-orange",nectarine; sweet; baked bread; nectar; dark honey; sweet potato,honey; refined; gentle; elegant; sweet; nectar; lightly woody; graham cracker,medium body; lubricating; syrupy,,"long, withered, blackish‑brown leaves with lighter accents",roasted; fresh; nectarine; raisin; tobacco; hay; woody,leaves are various shades of green and mud-brown,effervescent; sweet; nectarine
Huo Shan Huang Ya,Amber Mountain,yellow,Jin Ji,"picked as a bud and leaf, then steamed and covered",low,"Once produced as imperial tribute. Nearly lost in the 20th century, but revived through local preservation efforts in Anhui.","Anhui Provincial Archives ""Huoshan County Tea Annals"" (1998); China Yellow Tea Research Center",China,"Anhui, Huoshan",,"light, golden antique yellow",slightly buttery; effervescent,slightly fruity; pear; delicate; elegant; pine; clean,light-to-medium body; smooth; effervescent,calming,"long, flat, withered yellow‑green leaves",fresh; juicy; warm; vibrant; effervescent; intensely vegetal; sea air; pear; mango; fruity; sweet,"uniform, lighter, slightly yellow-green leaves",fruity; sweet; pear; effervescent; pine; warm; fresh cut grass
Jade Dragon Green Tea,Jade Dragon,green,White Pekoe,,low,,,China,"Yunnan, Lincang, Fengqing",,"bright, golden yellow; some hairs; cheerful; elegant",smoky; vegetal; slightly nutty; chestnut, vegetal; green beans; bright; slightly smoky,medium body; astringent; smooth,alerting,"dark green leaves with light, shiny, white down and contorted buds",sharp; pungent; smoky; vegetal; spicy; vanilla,"bright, vibrant, yellow‑green leaves with red-brown accents",pineapple; vegetal; smoky; effervescent; passionfruit; coconut
Jade Earrings White Tea,Jade Earrings,white,Unknown,,low,,,China,"Yunnan, Simao",,very cloudy; foamy; moonlight white-yellow,fragrant; sweet hay; vegetal,vegetal; slightly sweet; peas; green beans; can become acrid at high temperatures,medium body; smooth,relaxing; comforting,"tightly rolled coils, downy and silvery white mixed with a dull green",very vegetal; slightly acrid; hay,"glossy, curled, dull yellow‑green ribbons",sweet; effervescent
Jasmine Pearls,Dragon Pearls; Jasmine Dragon Pearls,green,Fuding Dabai; Yunnan Da Ye Zhong,"scented with jasmine, hand‑rolled",low,Part of Fujian’s centuries‑old jasmine‑scenting tradition developed during the Ming and Qing dynasties to meet demand for aromatic tribute teas.,Fujian Jasmine Tea Association; China Tea History (Zhang 2006),China,Fujian; Yunnan,,cloudy with many particles; pale moon yellow; soft golden yellow,intensely floral; jasmine; sweet; honey,elegant; jasmine; floral; honey; white grapes,light-to-medium body; lubricating; smooth,calming; uplifting,"small‑to-medium rolled balls with dark brown, white, and dark green streaks",intensely floral; jasmine; grassy;  fruity; peach; nectarine; white grape; champagne; effervescent; vanilla,"medium‑to-long, light‑to‑dark green leaves with some reddish accents",intensely floral; jasmine; very sweet; vanilla; fruity; white grape
Jiang Mu Xiang Dan Cong,Ginger Aroma Dan Cong,oolong,Jiang Mu Xiang,,medium,A Phoenix Mountain Dan Cong cultivar known for its ginger‑like floral aroma. Part of the Guangdong Dan Cong heritage recognized as intangible cultural heritage.,Guangdong Intangible Cultural Heritage Registry; Fenghuang Dan Cong Cultural Office,China,"Guangdong, Raoping, Fenghuang, Tou She",,gold‑orange; slightly cloudy; golden yellow-orange; dull amber,buttered croissant; sweet; cream; gingerbread; fruity; nectarine,complex; refined; sweet; raw ginger; floral; slightly bitter; lightly buttery; lychee; woody; nectarine,medium-to-heavy body; lubricating; somewhat astringent,energizing,"medium, withered, blackish‑brown leaves with lighter accents",fresh; effervescent; sweet; muscat; ginger; spicy; peach; nutmeg; burned wood; nectarine,dull green with reddish brown accents,sweet; lychee; peach; effervescent; ginger; croissant; buttery; honey; cream; warm; nectarine
Jin Guanyin,,oolong,Jin Guanyin,traditional Wuyi processing,medium,,,China,"Fujian, Wuyishan, Tongmu",,"clear; dull, antique golden amber",fresh; lively; sweet; baked bread; fruity peach; nutty; peanut; buttery,honey; sweet; malty; peach; wheat; grain,heavy; smooth; syrupy,uplifting,"medium‑to-large withered leaves, brown to blackish‑green to reddish",sweet; roasted; nutty; peanuts; fruity; peach,olive green to mud-brown with reddish accents,sweet; roasted grain; peach; pear; vanilla; effervescent
Jin Jun Mei,Golden Eyebrow; Gleaming Eyebrow,black,Wuyi Qunti Zhong,,high,One of the most influential modern Chinese black teas. Created in 2005 in Tongmu. Made entirely from early spring buds and credited with revitalizing high‑end black‑tea culture.,Wuyishan Tea Research Institute; Tongmu Tea Cooperative Records,China,Fujian; Wuyi Mountains,,dull orange; root beer; partially cloudy; medium amber; earthy orange caramel,sweet; floral; rum; butter; chocolate; caramel; malty; wood,dark chocolate; floral; peppery; malty; bright; bittersweet; caramel; yellow squash,full; viscous,energizing,"small, thin, black leaves with golden, orange‑yellow tips",chocolate; hay; floral; sweet,uniform mud-brown,fruity; effervescent; prune; cherry; warm; nutmeg; cloves; cinnamon; floral; chocolate; sweet
Jin Xuan,Silk Oolong; Milk Oolong,oolong,Jin Xuan,picked up to the third or fourth leaf and artificially scented,medium,Developed in Taiwan in the 1980s by the Tea Research and Extension Station. Its naturally creamy texture helped define Taiwan’s modern oolong identity.,Taiwan Tea Research and Extension Station; Taiwan Council of Agriculture,Taiwan,Nantou,,cloudy; bright yellow,"warm milk; ripe, sweet mangos; floral; osmanthus; cream; butter; apple; mango",condensed milk; green mango; pineapple; rich; buttery; lightly vegetal; mango; slightly salty,thick; velvety; smooth,uplifting; comforting,"jungle‑green, tightly-rolled leaves",vegetal; grassy; milky,"medium‑large, jungle-green leaves with stems",floral; osmanthus; cream; butter; popcorn; lightly vegetal; grassy; sweet; apple; mango
Jin Ya,Golden Tips,black,Yunnan Da Ye Zhong,,high,,,China,Yunnan,,reddish amber brown; root beer; fairly clear,burnt sugar; pumpkin; clove; sweet potato,bright; woody; burnt sugar; bittersweet; unsweetened chocolate; clove; malty; yams; cinnamon,light-to-medium body,warming,"small‑to‑medium black buds with golden fuzz; soft, golden, silvery, slightly twisted leaves",honey graham cracker; sweet; chocolate chip cookie; hay; cinnamon; clove,mud-brown buds,sweet; sugar cane
Kabusecha,Kabusecha Takamado; Uji Kabusecha,green,Yabukita; Saemidori; Okumidori,shade-grown and lightly steamed,low,,,Japan,"Kyoto, Uji",,cloudy; bright yellow-green,sweet; vegetal; grassy; nutty; cashew; corn; starchy,"vegetal; slightly sweet; spinach; peas; cashew; marine; starchy, potato chips; fresh green beans",medium-to-heavy body; velvety,calming; focusing,"dark, deep jungle‑green, flat, glossy leaves",fresh; sweet; vegetal; pea; roasted cashew; sea air; corn,"bright, grass-green leaves",very sweet; effervescent; starchy
Laoshan Green Oolong,,oolong,Longjing Qunti,,low,,,China,"Shandong, Laoshan Village",,clear with some hairs; bright yellow,bread; hay; sweet vegetal; strong; smoky,vegetal; slightly sweet; green beans; sour; salty; smoky; grassy,light‑to‑medium body,alerting,"light yellow‑green to dark jungle‑green, twisted, loose balls",bread; smoked paprika; hay; vegetal sweetness; honeydew melon; complex; milk chocolate,"medium‑to‑long, dull olive green leaves with stems",sweet; vegetal; slightly fruity; sour; smoky; bread
Laoshan Pine Needle Green,,green,Longjing Qunti,"carefully curled, then pulled straight",low,,,China,"Shandong, Laoshan Village",,pale to bright citrine yellow,sweet; intensely vegetal; fresh hay; nutty; peanut; cashew; fresh cut grass; potato chips; marine,fresh; intensely vegetal; light honey; apricot,light‑to‑medium body,calming,"dark, dull green, medium‑to‑long, fairly straight, thin leaves with lighter green accents",rich; sweet; intensely vegetal; fresh hay; nutty; peanut; cashew; fresh cut grass; morning dew; potato chips; marine,"thin, grass-green leaves",effervescent; sweet; grassy; vegetal
Lu An Gua Pian,Melon Seed,green,"Da Guazi, Dushan, Wu Niu Zao",hand‑picked leaves dried with bamboo brushes in heated vessels,low,"Top 10 tea of China. Unique for using only mature leaves, giving it a distinctive shape and processing style dating back to the Ming dynasty.	China Tea Marketing Association; Anhui Lu’an Tea Records",,China,Anhui,,slightly cloudy; light golden yellow,corn; green beans; sweet; buttery,delicate; sweet; vegetal; watermelon rind; fresh hay; sweetgrass,medium body,calming,"long, twisted, dull green leaves with bluish accents",fresh; vegetal; hay; honeydew melon,"a more uniform, brighter grassy green",effervescent; sweet; honeydew melon
